      -nan(ind)      -nan(ind)           3.33 (weight == 1)
      -nan(ind)         6.6567         5.9531 (weight == 1)
      -nan(ind)      -nan(ind)         4.7983 (weight == 1)
         5.9296      -nan(ind)          3.703 (weight == 1)
      -nan(ind)      -nan(ind)         3.2607 (weight == 1)
      -nan(ind)         6.0726           3.23 (weight == 1)
      -nan(ind)      -nan(ind)         5.9905 (weight == 1)
          5.546      -nan(ind)         4.3303 (weight == 1)
      -nan(ind)      -nan(ind)          5.511 (weight == 1)
          3.777         3.8263         5.9862 (weight == 1)
      -nan(ind)      -nan(ind)         5.0717 (weight == 1)
         3.9126      -nan(ind)         3.5831 (weight == 1)
      -nan(ind)      -nan(ind)         4.6545 (weight == 1)
      -nan(ind)         6.4231         4.6959 (weight == 1)
      -nan(ind)      -nan(ind)          6.033 (weight == 1)
      -nan(ind)      -nan(ind)         4.3348 (weight == 1)
         4.5222      -nan(ind)         5.7561 (weight == 1)
      -nan(ind)         5.3467         5.0549 (weight == 1)
      -nan(ind)      -nan(ind)         3.2236 (weight == 1)
         5.4183      -nan(ind)         5.5234 (weight == 1)
      -nan(ind)      -nan(ind)         3.7394 (weight == 1)
      -nan(ind)         6.3766          5.527 (weight == 1)
